hook|fixture|outcome|run|duration_ms
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|4|30
auto-mode-shared-steps|passes-noop-bash|pass|4|32
block-config-edits|blocks-edit-bashrc|blocked|4|29
block-config-edits|passes-edit-non-config-file|pass|4|26
block-credential-exfiltration|blocks-curl-with-token|blocked|4|22
block-credential-exfiltration|passes-curl-no-credentials|pass|4|18
block-dangerous-commands|blocks-rm-rf-root|blocked|4|46
block-dangerous-commands|passes-benign-ls|pass|4|16
detect-session-start-truncation|passes-untruncated|pass|4|12
enforce-make-commands|blocks-bare-pytest|blocked|4|17
enforce-make-commands|passes-make-test|pass|4|16
enforce-uv-run|blocks-bare-python|blocked|4|20
enforce-uv-run|passes-uv-run-python|pass|4|22
git-safety|blocks-force-push-main|blocked|4|35
git-safety|blocks-malformed-stdin|blocked|4|9
git-safety|passes-git-status|pass|4|17
log-permission-denied|logs-denied|pass|4|13
log-permission-denied|passes-on-malformed-stdin|error|4|19
log-tool-uses|logs-bash|pass|4|15
log-tool-uses|passes-on-malformed-stdin|error|4|17
secrets-guard|blocks-dotenv-grep|blocked|4|36
secrets-guard|passes-grep-non-secret-path|pass|4|24
suggest-read-json|blocks-on-large-json|blocked|4|27
suggest-read-json|passes-on-nonexistent-json|pass|4|18
approve-safe-commands|approves-ls|approved|5|51
approve-safe-commands|passes-non-allowlist-bash|pass|5|49
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|5|40
auto-mode-shared-steps|passes-noop-bash|pass|5|32
block-config-edits|blocks-edit-bashrc|blocked|5|28
block-config-edits|passes-edit-non-config-file|pass|5|23
block-credential-exfiltration|blocks-curl-with-token|blocked|5|21
block-credential-exfiltration|passes-curl-no-credentials|pass|5|18
block-dangerous-commands|blocks-rm-rf-root|blocked|5|42
block-dangerous-commands|passes-benign-ls|pass|5|16
detect-session-start-truncation|passes-untruncated|pass|5|8
enforce-make-commands|blocks-bare-pytest|blocked|5|16
enforce-make-commands|passes-make-test|pass|5|14
enforce-uv-run|blocks-bare-python|blocked|5|19
enforce-uv-run|passes-uv-run-python|pass|5|17
git-safety|blocks-force-push-main|blocked|5|52
git-safety|blocks-malformed-stdin|blocked|5|8
git-safety|passes-git-status|pass|5|16
log-permission-denied|logs-denied|pass|5|14
log-permission-denied|passes-on-malformed-stdin|error|5|14
log-tool-uses|logs-bash|pass|5|15
log-tool-uses|passes-on-malformed-stdin|error|5|13
secrets-guard|blocks-dotenv-grep|blocked|5|36
secrets-guard|passes-grep-non-secret-path|pass|5|24
suggest-read-json|blocks-on-large-json|blocked|5|21
suggest-read-json|passes-on-nonexistent-json|pass|5|15
approve-safe-commands|approves-ls|approved|6|40
approve-safe-commands|passes-non-allowlist-bash|pass|6|40
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|6|31
auto-mode-shared-steps|passes-noop-bash|pass|6|23
block-config-edits|blocks-edit-bashrc|blocked|6|30
block-config-edits|passes-edit-non-config-file|pass|6|22
block-credential-exfiltration|blocks-curl-with-token|blocked|6|14
block-credential-exfiltration|passes-curl-no-credentials|pass|6|18
block-dangerous-commands|blocks-rm-rf-root|blocked|6|42
block-dangerous-commands|passes-benign-ls|pass|6|13
detect-session-start-truncation|passes-untruncated|pass|6|7
enforce-make-commands|blocks-bare-pytest|blocked|6|14
enforce-make-commands|passes-make-test|pass|6|15
enforce-uv-run|blocks-bare-python|blocked|6|18
enforce-uv-run|passes-uv-run-python|pass|6|19
git-safety|blocks-force-push-main|blocked|6|37
git-safety|blocks-malformed-stdin|blocked|6|7
git-safety|passes-git-status|pass|6|19
log-permission-denied|logs-denied|pass|6|17
log-permission-denied|passes-on-malformed-stdin|error|6|14
log-tool-uses|logs-bash|pass|6|15
log-tool-uses|passes-on-malformed-stdin|error|6|14
secrets-guard|blocks-dotenv-grep|blocked|6|33
secrets-guard|passes-grep-non-secret-path|pass|6|21
suggest-read-json|blocks-on-large-json|blocked|6|23
suggest-read-json|passes-on-nonexistent-json|pass|6|19
approve-safe-commands|approves-ls|approved|7|44
approve-safe-commands|passes-non-allowlist-bash|pass|7|45
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|7|28
auto-mode-shared-steps|passes-noop-bash|pass|7|21
block-config-edits|blocks-edit-bashrc|blocked|7|23
block-config-edits|passes-edit-non-config-file|pass|7|23
block-credential-exfiltration|blocks-curl-with-token|blocked|7|16
block-credential-exfiltration|passes-curl-no-credentials|pass|7|16
block-dangerous-commands|blocks-rm-rf-root|blocked|7|41
block-dangerous-commands|passes-benign-ls|pass|7|14
detect-session-start-truncation|passes-untruncated|pass|7|8
enforce-make-commands|blocks-bare-pytest|blocked|7|18
enforce-make-commands|passes-make-test|pass|7|14
enforce-uv-run|blocks-bare-python|blocked|7|18
enforce-uv-run|passes-uv-run-python|pass|7|24
git-safety|blocks-force-push-main|blocked|7|36
git-safety|blocks-malformed-stdin|blocked|7|8
git-safety|passes-git-status|pass|7|15
log-permission-denied|logs-denied|pass|7|13
log-permission-denied|passes-on-malformed-stdin|error|7|12
log-tool-uses|logs-bash|pass|7|14
log-tool-uses|passes-on-malformed-stdin|error|7|17
secrets-guard|blocks-dotenv-grep|blocked|7|32
secrets-guard|passes-grep-non-secret-path|pass|7|22
suggest-read-json|blocks-on-large-json|blocked|7|22
suggest-read-json|passes-on-nonexistent-json|pass|7|16
approve-safe-commands|approves-ls|approved|8|37
approve-safe-commands|passes-non-allowlist-bash|pass|8|37
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|8|25
auto-mode-shared-steps|passes-noop-bash|pass|8|22
block-config-edits|blocks-edit-bashrc|blocked|8|20
block-config-edits|passes-edit-non-config-file|pass|8|23
block-credential-exfiltration|blocks-curl-with-token|blocked|8|19
block-credential-exfiltration|passes-curl-no-credentials|pass|8|22
block-dangerous-commands|blocks-rm-rf-root|blocked|8|44
block-dangerous-commands|passes-benign-ls|pass|8|15
detect-session-start-truncation|passes-untruncated|pass|8|7
enforce-make-commands|blocks-bare-pytest|blocked|8|14
enforce-make-commands|passes-make-test|pass|8|14
enforce-uv-run|blocks-bare-python|blocked|8|20
enforce-uv-run|passes-uv-run-python|pass|8|17
git-safety|blocks-force-push-main|blocked|8|43
git-safety|blocks-malformed-stdin|blocked|8|8
git-safety|passes-git-status|pass|8|17
log-permission-denied|logs-denied|pass|8|14
log-permission-denied|passes-on-malformed-stdin|error|8|15
log-tool-uses|logs-bash|pass|8|13
log-tool-uses|passes-on-malformed-stdin|error|8|15
secrets-guard|blocks-dotenv-grep|blocked|8|29
secrets-guard|passes-grep-non-secret-path|pass|8|20
suggest-read-json|blocks-on-large-json|blocked|8|20
suggest-read-json|passes-on-nonexistent-json|pass|8|18
approve-safe-commands|approves-ls|approved|9|33
approve-safe-commands|passes-non-allowlist-bash|pass|9|39
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|9|26
auto-mode-shared-steps|passes-noop-bash|pass|9|20
block-config-edits|blocks-edit-bashrc|blocked|9|22
block-config-edits|passes-edit-non-config-file|pass|9|22
block-credential-exfiltration|blocks-curl-with-token|blocked|9|16
block-credential-exfiltration|passes-curl-no-credentials|pass|9|15
block-dangerous-commands|blocks-rm-rf-root|blocked|9|47
block-dangerous-commands|passes-benign-ls|pass|9|18
detect-session-start-truncation|passes-untruncated|pass|9|7
enforce-make-commands|blocks-bare-pytest|blocked|9|16
enforce-make-commands|passes-make-test|pass|9|14
enforce-uv-run|blocks-bare-python|blocked|9|16
enforce-uv-run|passes-uv-run-python|pass|9|16
git-safety|blocks-force-push-main|blocked|9|33
git-safety|blocks-malformed-stdin|blocked|9|8
git-safety|passes-git-status|pass|9|15
log-permission-denied|logs-denied|pass|9|12
log-permission-denied|passes-on-malformed-stdin|error|9|14
log-tool-uses|logs-bash|pass|9|13
log-tool-uses|passes-on-malformed-stdin|error|9|14
secrets-guard|blocks-dotenv-grep|blocked|9|31
secrets-guard|passes-grep-non-secret-path|pass|9|19
suggest-read-json|blocks-on-large-json|blocked|9|22
suggest-read-json|passes-on-nonexistent-json|pass|9|14
approve-safe-commands|approves-ls|approved|10|30
approve-safe-commands|passes-non-allowlist-bash|pass|10|34
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|10|23
auto-mode-shared-steps|passes-noop-bash|pass|10|20
block-config-edits|blocks-edit-bashrc|blocked|10|20
block-config-edits|passes-edit-non-config-file|pass|10|19
block-credential-exfiltration|blocks-curl-with-token|blocked|10|15
block-credential-exfiltration|passes-curl-no-credentials|pass|10|15
block-dangerous-commands|blocks-rm-rf-root|blocked|10|43
block-dangerous-commands|passes-benign-ls|pass|10|14
detect-session-start-truncation|passes-untruncated|pass|10|8
enforce-make-commands|blocks-bare-pytest|blocked|10|12
enforce-make-commands|passes-make-test|pass|10|16
enforce-uv-run|blocks-bare-python|blocked|10|19
enforce-uv-run|passes-uv-run-python|pass|10|18
git-safety|blocks-force-push-main|blocked|10|34
git-safety|blocks-malformed-stdin|blocked|10|9
git-safety|passes-git-status|pass|10|17
log-permission-denied|logs-denied|pass|10|12
log-permission-denied|passes-on-malformed-stdin|error|10|17
log-tool-uses|logs-bash|pass|10|19
log-tool-uses|passes-on-malformed-stdin|error|10|13
secrets-guard|blocks-dotenv-grep|blocked|10|31
secrets-guard|passes-grep-non-secret-path|pass|10|21
suggest-read-json|blocks-on-large-json|blocked|10|27
suggest-read-json|passes-on-nonexistent-json|pass|10|17
approve-safe-commands|approves-ls|approved|11|34
approve-safe-commands|passes-non-allowlist-bash|pass|11|34
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|11|31
auto-mode-shared-steps|passes-noop-bash|pass|11|30
block-config-edits|blocks-edit-bashrc|blocked|11|22
block-config-edits|passes-edit-non-config-file|pass|11|23
block-credential-exfiltration|blocks-curl-with-token|blocked|11|17
block-credential-exfiltration|passes-curl-no-credentials|pass|11|15
block-dangerous-commands|blocks-rm-rf-root|blocked|11|42
block-dangerous-commands|passes-benign-ls|pass|11|18
detect-session-start-truncation|passes-untruncated|pass|11|7
enforce-make-commands|blocks-bare-pytest|blocked|11|13
enforce-make-commands|passes-make-test|pass|11|12
enforce-uv-run|blocks-bare-python|blocked|11|18
enforce-uv-run|passes-uv-run-python|pass|11|23
git-safety|blocks-force-push-main|blocked|11|62
git-safety|blocks-malformed-stdin|blocked|11|9
git-safety|passes-git-status|pass|11|16
log-permission-denied|logs-denied|pass|11|13
log-permission-denied|passes-on-malformed-stdin|error|11|15
log-tool-uses|logs-bash|pass|11|13
log-tool-uses|passes-on-malformed-stdin|error|11|14
secrets-guard|blocks-dotenv-grep|blocked|11|29
secrets-guard|passes-grep-non-secret-path|pass|11|25
suggest-read-json|blocks-on-large-json|blocked|11|20
suggest-read-json|passes-on-nonexistent-json|pass|11|15
approve-safe-commands|approves-ls|approved|12|39
approve-safe-commands|passes-non-allowlist-bash|pass|12|44
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|12|27
auto-mode-shared-steps|passes-noop-bash|pass|12|22
block-config-edits|blocks-edit-bashrc|blocked|12|20
block-config-edits|passes-edit-non-config-file|pass|12|27
block-credential-exfiltration|blocks-curl-with-token|blocked|12|16
block-credential-exfiltration|passes-curl-no-credentials|pass|12|16
block-dangerous-commands|blocks-rm-rf-root|blocked|12|44
block-dangerous-commands|passes-benign-ls|pass|12|18
detect-session-start-truncation|passes-untruncated|pass|12|9
enforce-make-commands|blocks-bare-pytest|blocked|12|14
enforce-make-commands|passes-make-test|pass|12|16
enforce-uv-run|blocks-bare-python|blocked|12|17
enforce-uv-run|passes-uv-run-python|pass|12|19
git-safety|blocks-force-push-main|blocked|12|34
git-safety|blocks-malformed-stdin|blocked|12|7
git-safety|passes-git-status|pass|12|15
log-permission-denied|logs-denied|pass|12|16
log-permission-denied|passes-on-malformed-stdin|error|12|14
log-tool-uses|logs-bash|pass|12|14
log-tool-uses|passes-on-malformed-stdin|error|12|13
secrets-guard|blocks-dotenv-grep|blocked|12|29
secrets-guard|passes-grep-non-secret-path|pass|12|36
suggest-read-json|blocks-on-large-json|blocked|12|20
suggest-read-json|passes-on-nonexistent-json|pass|12|17
approve-safe-commands|approves-ls|approved|13|34
approve-safe-commands|passes-non-allowlist-bash|pass|13|39
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|13|25
auto-mode-shared-steps|passes-noop-bash|pass|13|24
block-config-edits|blocks-edit-bashrc|blocked|13|26
block-config-edits|passes-edit-non-config-file|pass|13|24
block-credential-exfiltration|blocks-curl-with-token|blocked|13|16
block-credential-exfiltration|passes-curl-no-credentials|pass|13|16
block-dangerous-commands|blocks-rm-rf-root|blocked|13|42
block-dangerous-commands|passes-benign-ls|pass|13|13
detect-session-start-truncation|passes-untruncated|pass|13|8
enforce-make-commands|blocks-bare-pytest|blocked|13|13
enforce-make-commands|passes-make-test|pass|13|16
enforce-uv-run|blocks-bare-python|blocked|13|17
enforce-uv-run|passes-uv-run-python|pass|13|18
git-safety|blocks-force-push-main|blocked|13|42
git-safety|blocks-malformed-stdin|blocked|13|7
git-safety|passes-git-status|pass|13|17
log-permission-denied|logs-denied|pass|13|14
log-permission-denied|passes-on-malformed-stdin|error|13|13
log-tool-uses|logs-bash|pass|13|14
log-tool-uses|passes-on-malformed-stdin|error|13|15
secrets-guard|blocks-dotenv-grep|blocked|13|28
secrets-guard|passes-grep-non-secret-path|pass|13|28
suggest-read-json|blocks-on-large-json|blocked|13|23
suggest-read-json|passes-on-nonexistent-json|pass|13|25
approve-safe-commands|approves-ls|approved|14|49
approve-safe-commands|passes-non-allowlist-bash|pass|14|40
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|14|27
auto-mode-shared-steps|passes-noop-bash|pass|14|25
block-config-edits|blocks-edit-bashrc|blocked|14|23
block-config-edits|passes-edit-non-config-file|pass|14|27
block-credential-exfiltration|blocks-curl-with-token|blocked|14|18
block-credential-exfiltration|passes-curl-no-credentials|pass|14|18
block-dangerous-commands|blocks-rm-rf-root|blocked|14|45
block-dangerous-commands|passes-benign-ls|pass|14|14
detect-session-start-truncation|passes-untruncated|pass|14|7
enforce-make-commands|blocks-bare-pytest|blocked|14|16
enforce-make-commands|passes-make-test|pass|14|14
enforce-uv-run|blocks-bare-python|blocked|14|18
enforce-uv-run|passes-uv-run-python|pass|14|15
git-safety|blocks-force-push-main|blocked|14|39
git-safety|blocks-malformed-stdin|blocked|14|7
git-safety|passes-git-status|pass|14|14
log-permission-denied|logs-denied|pass|14|18
log-permission-denied|passes-on-malformed-stdin|error|14|18
log-tool-uses|logs-bash|pass|14|22
log-tool-uses|passes-on-malformed-stdin|error|14|15
secrets-guard|blocks-dotenv-grep|blocked|14|30
secrets-guard|passes-grep-non-secret-path|pass|14|22
suggest-read-json|blocks-on-large-json|blocked|14|19
suggest-read-json|passes-on-nonexistent-json|pass|14|15
approve-safe-commands|approves-ls|approved|15|34
approve-safe-commands|passes-non-allowlist-bash|pass|15|39
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|15|29
auto-mode-shared-steps|passes-noop-bash|pass|15|22
block-config-edits|blocks-edit-bashrc|blocked|15|20
block-config-edits|passes-edit-non-config-file|pass|15|20
block-credential-exfiltration|blocks-curl-with-token|blocked|15|15
block-credential-exfiltration|passes-curl-no-credentials|pass|15|14
block-dangerous-commands|blocks-rm-rf-root|blocked|15|37
block-dangerous-commands|passes-benign-ls|pass|15|13
detect-session-start-truncation|passes-untruncated|pass|15|8
enforce-make-commands|blocks-bare-pytest|blocked|15|16
enforce-make-commands|passes-make-test|pass|15|14
enforce-uv-run|blocks-bare-python|blocked|15|16
enforce-uv-run|passes-uv-run-python|pass|15|17
git-safety|blocks-force-push-main|blocked|15|38
git-safety|blocks-malformed-stdin|blocked|15|10
git-safety|passes-git-status|pass|15|23
log-permission-denied|logs-denied|pass|15|15
log-permission-denied|passes-on-malformed-stdin|error|15|19
log-tool-uses|logs-bash|pass|15|15
log-tool-uses|passes-on-malformed-stdin|error|15|16
secrets-guard|blocks-dotenv-grep|blocked|15|36
secrets-guard|passes-grep-non-secret-path|pass|15|30
suggest-read-json|blocks-on-large-json|blocked|15|23
suggest-read-json|passes-on-nonexistent-json|pass|15|19
approve-safe-commands|approves-ls|approved|16|47
approve-safe-commands|passes-non-allowlist-bash|pass|16|53
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|16|27
auto-mode-shared-steps|passes-noop-bash|pass|16|27
block-config-edits|blocks-edit-bashrc|blocked|16|24
block-config-edits|passes-edit-non-config-file|pass|16|23
block-credential-exfiltration|blocks-curl-with-token|blocked|16|20
block-credential-exfiltration|passes-curl-no-credentials|pass|16|20
block-dangerous-commands|blocks-rm-rf-root|blocked|16|64
block-dangerous-commands|passes-benign-ls|pass|16|21
detect-session-start-truncation|passes-untruncated|pass|16|14
enforce-make-commands|blocks-bare-pytest|blocked|16|18
enforce-make-commands|passes-make-test|pass|16|16
enforce-uv-run|blocks-bare-python|blocked|16|28
enforce-uv-run|passes-uv-run-python|pass|16|21
git-safety|blocks-force-push-main|blocked|16|39
git-safety|blocks-malformed-stdin|blocked|16|9
git-safety|passes-git-status|pass|16|19
log-permission-denied|logs-denied|pass|16|15
log-permission-denied|passes-on-malformed-stdin|error|16|14
log-tool-uses|logs-bash|pass|16|18
log-tool-uses|passes-on-malformed-stdin|error|16|13
secrets-guard|blocks-dotenv-grep|blocked|16|31
secrets-guard|passes-grep-non-secret-path|pass|16|27
suggest-read-json|blocks-on-large-json|blocked|16|23
suggest-read-json|passes-on-nonexistent-json|pass|16|23
approve-safe-commands|approves-ls|approved|17|54
approve-safe-commands|passes-non-allowlist-bash|pass|17|46
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|17|31
auto-mode-shared-steps|passes-noop-bash|pass|17|23
block-config-edits|blocks-edit-bashrc|blocked|17|24
block-config-edits|passes-edit-non-config-file|pass|17|30
block-credential-exfiltration|blocks-curl-with-token|blocked|17|20
block-credential-exfiltration|passes-curl-no-credentials|pass|17|17
block-dangerous-commands|blocks-rm-rf-root|blocked|17|43
block-dangerous-commands|passes-benign-ls|pass|17|19
detect-session-start-truncation|passes-untruncated|pass|17|8
enforce-make-commands|blocks-bare-pytest|blocked|17|14
enforce-make-commands|passes-make-test|pass|17|20
enforce-uv-run|blocks-bare-python|blocked|17|25
enforce-uv-run|passes-uv-run-python|pass|17|22
git-safety|blocks-force-push-main|blocked|17|52
git-safety|blocks-malformed-stdin|blocked|17|12
git-safety|passes-git-status|pass|17|34
log-permission-denied|logs-denied|pass|17|20
log-permission-denied|passes-on-malformed-stdin|error|17|23
log-tool-uses|logs-bash|pass|17|19
log-tool-uses|passes-on-malformed-stdin|error|17|20
secrets-guard|blocks-dotenv-grep|blocked|17|50
secrets-guard|passes-grep-non-secret-path|pass|17|38
suggest-read-json|blocks-on-large-json|blocked|17|32
suggest-read-json|passes-on-nonexistent-json|pass|17|21
approve-safe-commands|approves-ls|approved|18|39
approve-safe-commands|passes-non-allowlist-bash|pass|18|38
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|18|26
auto-mode-shared-steps|passes-noop-bash|pass|18|20
block-config-edits|blocks-edit-bashrc|blocked|18|20
block-config-edits|passes-edit-non-config-file|pass|18|20
block-credential-exfiltration|blocks-curl-with-token|blocked|18|15
block-credential-exfiltration|passes-curl-no-credentials|pass|18|18
block-dangerous-commands|blocks-rm-rf-root|blocked|18|46
block-dangerous-commands|passes-benign-ls|pass|18|13
detect-session-start-truncation|passes-untruncated|pass|18|7
enforce-make-commands|blocks-bare-pytest|blocked|18|12
enforce-make-commands|passes-make-test|pass|18|15
enforce-uv-run|blocks-bare-python|blocked|18|20
enforce-uv-run|passes-uv-run-python|pass|18|19
git-safety|blocks-force-push-main|blocked|18|35
git-safety|blocks-malformed-stdin|blocked|18|7
git-safety|passes-git-status|pass|18|17
log-permission-denied|logs-denied|pass|18|14
log-permission-denied|passes-on-malformed-stdin|error|18|13
log-tool-uses|logs-bash|pass|18|14
log-tool-uses|passes-on-malformed-stdin|error|18|14
secrets-guard|blocks-dotenv-grep|blocked|18|30
secrets-guard|passes-grep-non-secret-path|pass|18|21
suggest-read-json|blocks-on-large-json|blocked|18|22
suggest-read-json|passes-on-nonexistent-json|pass|18|17
approve-safe-commands|approves-ls|approved|19|38
approve-safe-commands|passes-non-allowlist-bash|pass|19|37
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|19|25
auto-mode-shared-steps|passes-noop-bash|pass|19|21
block-config-edits|blocks-edit-bashrc|blocked|19|23
block-config-edits|passes-edit-non-config-file|pass|19|19
block-credential-exfiltration|blocks-curl-with-token|blocked|19|16
block-credential-exfiltration|passes-curl-no-credentials|pass|19|16
block-dangerous-commands|blocks-rm-rf-root|blocked|19|36
block-dangerous-commands|passes-benign-ls|pass|19|13
detect-session-start-truncation|passes-untruncated|pass|19|9
enforce-make-commands|blocks-bare-pytest|blocked|19|19
enforce-make-commands|passes-make-test|pass|19|13
enforce-uv-run|blocks-bare-python|blocked|19|18
enforce-uv-run|passes-uv-run-python|pass|19|18
git-safety|blocks-force-push-main|blocked|19|32
git-safety|blocks-malformed-stdin|blocked|19|8
git-safety|passes-git-status|pass|19|15
log-permission-denied|logs-denied|pass|19|13
log-permission-denied|passes-on-malformed-stdin|error|19|16
log-tool-uses|logs-bash|pass|19|13
log-tool-uses|passes-on-malformed-stdin|error|19|14
secrets-guard|blocks-dotenv-grep|blocked|19|29
secrets-guard|passes-grep-non-secret-path|pass|19|20
suggest-read-json|blocks-on-large-json|blocked|19|21
suggest-read-json|passes-on-nonexistent-json|pass|19|16
approve-safe-commands|approves-ls|approved|20|41
approve-safe-commands|passes-non-allowlist-bash|pass|20|38
auto-mode-shared-steps|blocks-git-push-under-auto-mode|blocked|20|30
auto-mode-shared-steps|passes-noop-bash|pass|20|22
block-config-edits|blocks-edit-bashrc|blocked|20|21
block-config-edits|passes-edit-non-config-file|pass|20|22
block-credential-exfiltration|blocks-curl-with-token|blocked|20|18
block-credential-exfiltration|passes-curl-no-credentials|pass|20|17
block-dangerous-commands|blocks-rm-rf-root|blocked|20|42
block-dangerous-commands|passes-benign-ls|pass|20|13
detect-session-start-truncation|passes-untruncated|pass|20|7
enforce-make-commands|blocks-bare-pytest|blocked|20|13
enforce-make-commands|passes-make-test|pass|20|12
enforce-uv-run|blocks-bare-python|blocked|20|15
enforce-uv-run|passes-uv-run-python|pass|20|14
git-safety|blocks-force-push-main|blocked|20|31
git-safety|blocks-malformed-stdin|blocked|20|7
git-safety|passes-git-status|pass|20|14
log-permission-denied|logs-denied|pass|20|16
log-permission-denied|passes-on-malformed-stdin|error|20|12
log-tool-uses|logs-bash|pass|20|13
log-tool-uses|passes-on-malformed-stdin|error|20|14
secrets-guard|blocks-dotenv-grep|blocked|20|34
secrets-guard|passes-grep-non-secret-path|pass|20|24
suggest-read-json|blocks-on-large-json|blocked|20|22
suggest-read-json|passes-on-nonexistent-json|pass|20|18
