phase	dispatcher	mode_or_child	run	value_us
e2e	grouped-read-guard	real	25	89035
e2e	grouped-read-guard	real	26	88507
e2e	grouped-read-guard	real	27	88600
e2e	grouped-read-guard	real	28	95019
e2e	grouped-read-guard	real	29	90363
e2e	grouped-read-guard	real	30	105935
per-child	grouped-bash-guard	block-dangerous-commands.sh	1	3200
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	1	22320
per-child	grouped-bash-guard	block-credential-exfiltration.sh	1	5844
per-child	grouped-bash-guard	git-safety.sh	1	3679
per-child	grouped-bash-guard	secrets-guard.sh	1	8462
per-child	grouped-bash-guard	block-config-edits.sh	1	6846
per-child	grouped-bash-guard	enforce-make-commands.sh	1	4570
per-child	grouped-bash-guard	enforce-uv-run.sh	1	3569
per-child	grouped-bash-guard	block-dangerous-commands.sh	2	3123
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	2	20830
per-child	grouped-bash-guard	block-credential-exfiltration.sh	2	5611
per-child	grouped-bash-guard	git-safety.sh	2	3536
per-child	grouped-bash-guard	secrets-guard.sh	2	9050
per-child	grouped-bash-guard	block-config-edits.sh	2	6288
per-child	grouped-bash-guard	enforce-make-commands.sh	2	3851
per-child	grouped-bash-guard	enforce-uv-run.sh	2	3726
per-child	grouped-bash-guard	block-dangerous-commands.sh	3	3154
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	3	20161
per-child	grouped-bash-guard	block-credential-exfiltration.sh	3	5278
per-child	grouped-bash-guard	git-safety.sh	3	3477
per-child	grouped-bash-guard	secrets-guard.sh	3	5928
per-child	grouped-bash-guard	block-config-edits.sh	3	5825
per-child	grouped-bash-guard	enforce-make-commands.sh	3	3342
per-child	grouped-bash-guard	enforce-uv-run.sh	3	3281
per-child	grouped-bash-guard	block-dangerous-commands.sh	4	3121
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	4	18799
per-child	grouped-bash-guard	block-credential-exfiltration.sh	4	5061
per-child	grouped-bash-guard	git-safety.sh	4	3550
per-child	grouped-bash-guard	secrets-guard.sh	4	6533
per-child	grouped-bash-guard	block-config-edits.sh	4	5587
per-child	grouped-bash-guard	enforce-make-commands.sh	4	3409
per-child	grouped-bash-guard	enforce-uv-run.sh	4	3180
per-child	grouped-bash-guard	block-dangerous-commands.sh	5	2889
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	5	18788
per-child	grouped-bash-guard	block-credential-exfiltration.sh	5	4777
per-child	grouped-bash-guard	git-safety.sh	5	3326
per-child	grouped-bash-guard	secrets-guard.sh	5	5893
per-child	grouped-bash-guard	block-config-edits.sh	5	5723
per-child	grouped-bash-guard	enforce-make-commands.sh	5	3306
per-child	grouped-bash-guard	enforce-uv-run.sh	5	3198
per-child	grouped-bash-guard	block-dangerous-commands.sh	6	2910
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	6	18467
per-child	grouped-bash-guard	block-credential-exfiltration.sh	6	5003
per-child	grouped-bash-guard	git-safety.sh	6	3239
per-child	grouped-bash-guard	secrets-guard.sh	6	5686
per-child	grouped-bash-guard	block-config-edits.sh	6	5309
per-child	grouped-bash-guard	enforce-make-commands.sh	6	3108
per-child	grouped-bash-guard	enforce-uv-run.sh	6	3236
per-child	grouped-bash-guard	block-dangerous-commands.sh	7	3640
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	7	26102
per-child	grouped-bash-guard	block-credential-exfiltration.sh	7	8622
per-child	grouped-bash-guard	git-safety.sh	7	5464
per-child	grouped-bash-guard	secrets-guard.sh	7	10395
per-child	grouped-bash-guard	block-config-edits.sh	7	9339
per-child	grouped-bash-guard	enforce-make-commands.sh	7	5900
per-child	grouped-bash-guard	enforce-uv-run.sh	7	5239
per-child	grouped-bash-guard	block-dangerous-commands.sh	8	3111
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	8	21203
per-child	grouped-bash-guard	block-credential-exfiltration.sh	8	5710
per-child	grouped-bash-guard	git-safety.sh	8	4371
per-child	grouped-bash-guard	secrets-guard.sh	8	6543
per-child	grouped-bash-guard	block-config-edits.sh	8	6692
per-child	grouped-bash-guard	enforce-make-commands.sh	8	5319
per-child	grouped-bash-guard	enforce-uv-run.sh	8	4089
per-child	grouped-bash-guard	block-dangerous-commands.sh	9	3658
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	9	20441
per-child	grouped-bash-guard	block-credential-exfiltration.sh	9	5244
per-child	grouped-bash-guard	git-safety.sh	9	3503
per-child	grouped-bash-guard	secrets-guard.sh	9	6123
per-child	grouped-bash-guard	block-config-edits.sh	9	5895
per-child	grouped-bash-guard	enforce-make-commands.sh	9	3289
per-child	grouped-bash-guard	enforce-uv-run.sh	9	3367
per-child	grouped-bash-guard	block-dangerous-commands.sh	10	2997
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	10	20283
per-child	grouped-bash-guard	block-credential-exfiltration.sh	10	5101
per-child	grouped-bash-guard	git-safety.sh	10	3346
per-child	grouped-bash-guard	secrets-guard.sh	10	6060
per-child	grouped-bash-guard	block-config-edits.sh	10	5698
per-child	grouped-bash-guard	enforce-make-commands.sh	10	3343
per-child	grouped-bash-guard	enforce-uv-run.sh	10	3340
per-child	grouped-bash-guard	block-dangerous-commands.sh	11	2883
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	11	20122
per-child	grouped-bash-guard	block-credential-exfiltration.sh	11	4938
per-child	grouped-bash-guard	git-safety.sh	11	3374
per-child	grouped-bash-guard	secrets-guard.sh	11	6185
per-child	grouped-bash-guard	block-config-edits.sh	11	5945
per-child	grouped-bash-guard	enforce-make-commands.sh	11	4411
per-child	grouped-bash-guard	enforce-uv-run.sh	11	3756
per-child	grouped-bash-guard	block-dangerous-commands.sh	12	3242
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	12	19781
per-child	grouped-bash-guard	block-credential-exfiltration.sh	12	5172
per-child	grouped-bash-guard	git-safety.sh	12	3441
per-child	grouped-bash-guard	secrets-guard.sh	12	6056
per-child	grouped-bash-guard	block-config-edits.sh	12	6317
per-child	grouped-bash-guard	enforce-make-commands.sh	12	3345
per-child	grouped-bash-guard	enforce-uv-run.sh	12	3324
per-child	grouped-bash-guard	block-dangerous-commands.sh	13	3102
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	13	21200
per-child	grouped-bash-guard	block-credential-exfiltration.sh	13	5485
per-child	grouped-bash-guard	git-safety.sh	13	4106
per-child	grouped-bash-guard	secrets-guard.sh	13	7279
per-child	grouped-bash-guard	block-config-edits.sh	13	6664
per-child	grouped-bash-guard	enforce-make-commands.sh	13	3700
per-child	grouped-bash-guard	enforce-uv-run.sh	13	3545
per-child	grouped-bash-guard	block-dangerous-commands.sh	14	3272
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	14	26034
per-child	grouped-bash-guard	block-credential-exfiltration.sh	14	6588
per-child	grouped-bash-guard	git-safety.sh	14	4017
per-child	grouped-bash-guard	secrets-guard.sh	14	6782
per-child	grouped-bash-guard	block-config-edits.sh	14	7441
per-child	grouped-bash-guard	enforce-make-commands.sh	14	3930
per-child	grouped-bash-guard	enforce-uv-run.sh	14	3525
per-child	grouped-bash-guard	block-dangerous-commands.sh	15	3648
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	15	24243
per-child	grouped-bash-guard	block-credential-exfiltration.sh	15	6658
per-child	grouped-bash-guard	git-safety.sh	15	4323
per-child	grouped-bash-guard	secrets-guard.sh	15	11541
per-child	grouped-bash-guard	block-config-edits.sh	15	7022
per-child	grouped-bash-guard	enforce-make-commands.sh	15	3985
per-child	grouped-bash-guard	enforce-uv-run.sh	15	3563
per-child	grouped-bash-guard	block-dangerous-commands.sh	16	3309
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	16	21140
per-child	grouped-bash-guard	block-credential-exfiltration.sh	16	5427
per-child	grouped-bash-guard	git-safety.sh	16	3689
per-child	grouped-bash-guard	secrets-guard.sh	16	6851
per-child	grouped-bash-guard	block-config-edits.sh	16	6313
per-child	grouped-bash-guard	enforce-make-commands.sh	16	3644
per-child	grouped-bash-guard	enforce-uv-run.sh	16	3384
per-child	grouped-bash-guard	block-dangerous-commands.sh	17	3281
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	17	20302
per-child	grouped-bash-guard	block-credential-exfiltration.sh	17	5340
per-child	grouped-bash-guard	git-safety.sh	17	3568
per-child	grouped-bash-guard	secrets-guard.sh	17	6299
per-child	grouped-bash-guard	block-config-edits.sh	17	6572
per-child	grouped-bash-guard	enforce-make-commands.sh	17	3359
per-child	grouped-bash-guard	enforce-uv-run.sh	17	3424
per-child	grouped-bash-guard	block-dangerous-commands.sh	18	3098
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	18	20051
per-child	grouped-bash-guard	block-credential-exfiltration.sh	18	5552
per-child	grouped-bash-guard	git-safety.sh	18	3726
per-child	grouped-bash-guard	secrets-guard.sh	18	6953
per-child	grouped-bash-guard	block-config-edits.sh	18	6542
per-child	grouped-bash-guard	enforce-make-commands.sh	18	3348
per-child	grouped-bash-guard	enforce-uv-run.sh	18	3328
per-child	grouped-bash-guard	block-dangerous-commands.sh	19	3218
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	19	19675
per-child	grouped-bash-guard	block-credential-exfiltration.sh	19	5012
per-child	grouped-bash-guard	git-safety.sh	19	3405
per-child	grouped-bash-guard	secrets-guard.sh	19	5863
per-child	grouped-bash-guard	block-config-edits.sh	19	5675
per-child	grouped-bash-guard	enforce-make-commands.sh	19	3205
per-child	grouped-bash-guard	enforce-uv-run.sh	19	3542
per-child	grouped-bash-guard	block-dangerous-commands.sh	20	3073
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	20	19329
per-child	grouped-bash-guard	block-credential-exfiltration.sh	20	5110
per-child	grouped-bash-guard	git-safety.sh	20	3459
per-child	grouped-bash-guard	secrets-guard.sh	20	7312
per-child	grouped-bash-guard	block-config-edits.sh	20	7273
per-child	grouped-bash-guard	enforce-make-commands.sh	20	3333
per-child	grouped-bash-guard	enforce-uv-run.sh	20	3848
per-child	grouped-bash-guard	block-dangerous-commands.sh	21	3027
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	21	19424
per-child	grouped-bash-guard	block-credential-exfiltration.sh	21	5001
per-child	grouped-bash-guard	git-safety.sh	21	3503
per-child	grouped-bash-guard	secrets-guard.sh	21	6338
per-child	grouped-bash-guard	block-config-edits.sh	21	6023
per-child	grouped-bash-guard	enforce-make-commands.sh	21	3525
per-child	grouped-bash-guard	enforce-uv-run.sh	21	3711
per-child	grouped-bash-guard	block-dangerous-commands.sh	22	3328
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	22	20655
per-child	grouped-bash-guard	block-credential-exfiltration.sh	22	5806
per-child	grouped-bash-guard	git-safety.sh	22	3608
per-child	grouped-bash-guard	secrets-guard.sh	22	6305
per-child	grouped-bash-guard	block-config-edits.sh	22	8614
per-child	grouped-bash-guard	enforce-make-commands.sh	22	4129
per-child	grouped-bash-guard	enforce-uv-run.sh	22	5020
per-child	grouped-bash-guard	block-dangerous-commands.sh	23	3517
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	23	24132
per-child	grouped-bash-guard	block-credential-exfiltration.sh	23	5595
per-child	grouped-bash-guard	git-safety.sh	23	3764
per-child	grouped-bash-guard	secrets-guard.sh	23	6338
per-child	grouped-bash-guard	block-config-edits.sh	23	6102
per-child	grouped-bash-guard	enforce-make-commands.sh	23	3481
per-child	grouped-bash-guard	enforce-uv-run.sh	23	3551
per-child	grouped-bash-guard	block-dangerous-commands.sh	24	3080
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	24	20212
per-child	grouped-bash-guard	block-credential-exfiltration.sh	24	5263
per-child	grouped-bash-guard	git-safety.sh	24	3661
per-child	grouped-bash-guard	secrets-guard.sh	24	6259
per-child	grouped-bash-guard	block-config-edits.sh	24	6497
per-child	grouped-bash-guard	enforce-make-commands.sh	24	3443
per-child	grouped-bash-guard	enforce-uv-run.sh	24	3847
per-child	grouped-bash-guard	block-dangerous-commands.sh	25	3597
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	25	19999
per-child	grouped-bash-guard	block-credential-exfiltration.sh	25	5094
per-child	grouped-bash-guard	git-safety.sh	25	3498
per-child	grouped-bash-guard	secrets-guard.sh	25	5888
per-child	grouped-bash-guard	block-config-edits.sh	25	5808
per-child	grouped-bash-guard	enforce-make-commands.sh	25	3373
per-child	grouped-bash-guard	enforce-uv-run.sh	25	3262
per-child	grouped-bash-guard	block-dangerous-commands.sh	26	3036
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	26	19143
per-child	grouped-bash-guard	block-credential-exfiltration.sh	26	5375
per-child	grouped-bash-guard	git-safety.sh	26	3478
per-child	grouped-bash-guard	secrets-guard.sh	26	5847
per-child	grouped-bash-guard	block-config-edits.sh	26	5595
per-child	grouped-bash-guard	enforce-make-commands.sh	26	3227
per-child	grouped-bash-guard	enforce-uv-run.sh	26	3180
per-child	grouped-bash-guard	block-dangerous-commands.sh	27	3063
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	27	19812
per-child	grouped-bash-guard	block-credential-exfiltration.sh	27	4925
per-child	grouped-bash-guard	git-safety.sh	27	3425
per-child	grouped-bash-guard	secrets-guard.sh	27	5653
per-child	grouped-bash-guard	block-config-edits.sh	27	5628
per-child	grouped-bash-guard	enforce-make-commands.sh	27	3093
per-child	grouped-bash-guard	enforce-uv-run.sh	27	3115
per-child	grouped-bash-guard	block-dangerous-commands.sh	28	2872
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	28	18315
per-child	grouped-bash-guard	block-credential-exfiltration.sh	28	4852
per-child	grouped-bash-guard	git-safety.sh	28	3217
per-child	grouped-bash-guard	secrets-guard.sh	28	5783
per-child	grouped-bash-guard	block-config-edits.sh	28	5589
per-child	grouped-bash-guard	enforce-make-commands.sh	28	3076
per-child	grouped-bash-guard	enforce-uv-run.sh	28	3130
per-child	grouped-bash-guard	block-dangerous-commands.sh	29	3155
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	29	20723
per-child	grouped-bash-guard	block-credential-exfiltration.sh	29	6751
per-child	grouped-bash-guard	git-safety.sh	29	3642
per-child	grouped-bash-guard	secrets-guard.sh	29	6262
per-child	grouped-bash-guard	block-config-edits.sh	29	6448
per-child	grouped-bash-guard	enforce-make-commands.sh	29	5259
per-child	grouped-bash-guard	enforce-uv-run.sh	29	3668
per-child	grouped-bash-guard	block-dangerous-commands.sh	30	4134
per-child	grouped-bash-guard	auto-mode-shared-steps.sh	30	23374
per-child	grouped-bash-guard	block-credential-exfiltration.sh	30	5355
per-child	grouped-bash-guard	git-safety.sh	30	3992
per-child	grouped-bash-guard	secrets-guard.sh	30	6200
per-child	grouped-bash-guard	block-config-edits.sh	30	6257
per-child	grouped-bash-guard	enforce-make-commands.sh	30	3600
per-child	grouped-bash-guard	enforce-uv-run.sh	30	3512
per-child	grouped-read-guard	secrets-guard.sh	1	22584
per-child	grouped-read-guard	suggest-read-json.sh	1	3211
per-child	grouped-read-guard	secrets-guard.sh	2	19021
per-child	grouped-read-guard	suggest-read-json.sh	2	3321
per-child	grouped-read-guard	secrets-guard.sh	3	18899
per-child	grouped-read-guard	suggest-read-json.sh	3	3293
per-child	grouped-read-guard	secrets-guard.sh	4	17965
per-child	grouped-read-guard	suggest-read-json.sh	4	3313
per-child	grouped-read-guard	secrets-guard.sh	5	18534
per-child	grouped-read-guard	suggest-read-json.sh	5	3266
per-child	grouped-read-guard	secrets-guard.sh	6	18953
per-child	grouped-read-guard	suggest-read-json.sh	6	3198
per-child	grouped-read-guard	secrets-guard.sh	7	18150
per-child	grouped-read-guard	suggest-read-json.sh	7	3294
per-child	grouped-read-guard	secrets-guard.sh	8	21969
per-child	grouped-read-guard	suggest-read-json.sh	8	3339
per-child	grouped-read-guard	secrets-guard.sh	9	19064
per-child	grouped-read-guard	suggest-read-json.sh	9	3419
per-child	grouped-read-guard	secrets-guard.sh	10	20133
per-child	grouped-read-guard	suggest-read-json.sh	10	3231
per-child	grouped-read-guard	secrets-guard.sh	11	18384
per-child	grouped-read-guard	suggest-read-json.sh	11	3233
per-child	grouped-read-guard	secrets-guard.sh	12	18536
per-child	grouped-read-guard	suggest-read-json.sh	12	3322
per-child	grouped-read-guard	secrets-guard.sh	13	20235
per-child	grouped-read-guard	suggest-read-json.sh	13	3333
per-child	grouped-read-guard	secrets-guard.sh	14	18757
per-child	grouped-read-guard	suggest-read-json.sh	14	3192
per-child	grouped-read-guard	secrets-guard.sh	15	18010
per-child	grouped-read-guard	suggest-read-json.sh	15	3183
per-child	grouped-read-guard	secrets-guard.sh	16	18138
per-child	grouped-read-guard	suggest-read-json.sh	16	3232
per-child	grouped-read-guard	secrets-guard.sh	17	18771
per-child	grouped-read-guard	suggest-read-json.sh	17	3186
per-child	grouped-read-guard	secrets-guard.sh	18	23742
per-child	grouped-read-guard	suggest-read-json.sh	18	3440
per-child	grouped-read-guard	secrets-guard.sh	19	20425
per-child	grouped-read-guard	suggest-read-json.sh	19	4069
per-child	grouped-read-guard	secrets-guard.sh	20	18771
per-child	grouped-read-guard	suggest-read-json.sh	20	3461
per-child	grouped-read-guard	secrets-guard.sh	21	18539
per-child	grouped-read-guard	suggest-read-json.sh	21	3178
per-child	grouped-read-guard	secrets-guard.sh	22	18083
per-child	grouped-read-guard	suggest-read-json.sh	22	3214
per-child	grouped-read-guard	secrets-guard.sh	23	18793
per-child	grouped-read-guard	suggest-read-json.sh	23	3438
per-child	grouped-read-guard	secrets-guard.sh	24	17267
per-child	grouped-read-guard	suggest-read-json.sh	24	3192
per-child	grouped-read-guard	secrets-guard.sh	25	18097
per-child	grouped-read-guard	suggest-read-json.sh	25	3081
per-child	grouped-read-guard	secrets-guard.sh	26	16968
per-child	grouped-read-guard	suggest-read-json.sh	26	2961
per-child	grouped-read-guard	secrets-guard.sh	27	17858
per-child	grouped-read-guard	suggest-read-json.sh	27	3024
per-child	grouped-read-guard	secrets-guard.sh	28	17569
per-child	grouped-read-guard	suggest-read-json.sh	28	3305
per-child	grouped-read-guard	secrets-guard.sh	29	19019
per-child	grouped-read-guard	suggest-read-json.sh	29	3562
per-child	grouped-read-guard	secrets-guard.sh	30	22559
per-child	grouped-read-guard	suggest-read-json.sh	30	3993
