hook	outcome	mode	run	total_us
block-config-edits	pass	real	30	90261
block-credential-exfiltration	blocked	smoke	1	60227
block-credential-exfiltration	blocked	smoke	2	59743
block-credential-exfiltration	blocked	smoke	3	51970
block-credential-exfiltration	blocked	smoke	4	55700
block-credential-exfiltration	blocked	smoke	5	52826
block-credential-exfiltration	blocked	smoke	6	52572
block-credential-exfiltration	blocked	smoke	7	52878
block-credential-exfiltration	blocked	smoke	8	58657
block-credential-exfiltration	blocked	smoke	9	58943
block-credential-exfiltration	blocked	smoke	10	52029
block-credential-exfiltration	blocked	smoke	11	55430
block-credential-exfiltration	blocked	smoke	12	52099
block-credential-exfiltration	blocked	smoke	13	50293
block-credential-exfiltration	blocked	smoke	14	45909
block-credential-exfiltration	blocked	smoke	15	46391
block-credential-exfiltration	blocked	smoke	16	54935
block-credential-exfiltration	blocked	smoke	17	58185
block-credential-exfiltration	blocked	smoke	18	55963
block-credential-exfiltration	blocked	smoke	19	75507
block-credential-exfiltration	blocked	smoke	20	69739
block-credential-exfiltration	blocked	smoke	21	77264
block-credential-exfiltration	blocked	smoke	22	60580
block-credential-exfiltration	blocked	smoke	23	51578
block-credential-exfiltration	blocked	smoke	24	57643
block-credential-exfiltration	blocked	smoke	25	51576
block-credential-exfiltration	blocked	smoke	26	53893
block-credential-exfiltration	blocked	smoke	27	56598
block-credential-exfiltration	blocked	smoke	28	69198
block-credential-exfiltration	blocked	smoke	29	57242
block-credential-exfiltration	blocked	smoke	30	55479
block-credential-exfiltration	blocked	real	1	79640
block-credential-exfiltration	blocked	real	2	83321
block-credential-exfiltration	blocked	real	3	77331
block-credential-exfiltration	blocked	real	4	71604
block-credential-exfiltration	blocked	real	5	73561
block-credential-exfiltration	blocked	real	6	68747
block-credential-exfiltration	blocked	real	7	72332
block-credential-exfiltration	blocked	real	8	81386
block-credential-exfiltration	blocked	real	9	75860
block-credential-exfiltration	blocked	real	10	70354
block-credential-exfiltration	blocked	real	11	70038
block-credential-exfiltration	blocked	real	12	66321
block-credential-exfiltration	blocked	real	13	73587
block-credential-exfiltration	blocked	real	14	71911
block-credential-exfiltration	blocked	real	15	69980
block-credential-exfiltration	blocked	real	16	75737
block-credential-exfiltration	blocked	real	17	86556
block-credential-exfiltration	blocked	real	18	75418
block-credential-exfiltration	blocked	real	19	73443
block-credential-exfiltration	blocked	real	20	72379
block-credential-exfiltration	blocked	real	21	71855
block-credential-exfiltration	blocked	real	22	75486
block-credential-exfiltration	blocked	real	23	95641
block-credential-exfiltration	blocked	real	24	139806
block-credential-exfiltration	blocked	real	25	102047
block-credential-exfiltration	blocked	real	26	107873
block-credential-exfiltration	blocked	real	27	102284
block-credential-exfiltration	blocked	real	28	99448
block-credential-exfiltration	blocked	real	29	96405
block-credential-exfiltration	blocked	real	30	110933
block-credential-exfiltration	pass	smoke	1	88569
block-credential-exfiltration	pass	smoke	2	74728
block-credential-exfiltration	pass	smoke	3	63882
block-credential-exfiltration	pass	smoke	4	68827
block-credential-exfiltration	pass	smoke	5	66653
block-credential-exfiltration	pass	smoke	6	68855
block-credential-exfiltration	pass	smoke	7	77141
block-credential-exfiltration	pass	smoke	8	72094
block-credential-exfiltration	pass	smoke	9	88843
block-credential-exfiltration	pass	smoke	10	83571
block-credential-exfiltration	pass	smoke	11	71962
block-credential-exfiltration	pass	smoke	12	79538
block-credential-exfiltration	pass	smoke	13	85524
block-credential-exfiltration	pass	smoke	14	73205
block-credential-exfiltration	pass	smoke	15	73133
block-credential-exfiltration	pass	smoke	16	54996
block-credential-exfiltration	pass	smoke	17	61144
block-credential-exfiltration	pass	smoke	18	53794
block-credential-exfiltration	pass	smoke	19	60409
block-credential-exfiltration	pass	smoke	20	57527
block-credential-exfiltration	pass	smoke	21	54873
block-credential-exfiltration	pass	smoke	22	77805
block-credential-exfiltration	pass	smoke	23	62080
block-credential-exfiltration	pass	smoke	24	56161
block-credential-exfiltration	pass	smoke	25	57022
block-credential-exfiltration	pass	smoke	26	60083
block-credential-exfiltration	pass	smoke	27	65071
block-credential-exfiltration	pass	smoke	28	66023
block-credential-exfiltration	pass	smoke	29	57784
block-credential-exfiltration	pass	smoke	30	53153
block-credential-exfiltration	pass	real	1	85577
block-credential-exfiltration	pass	real	2	76608
block-credential-exfiltration	pass	real	3	84749
block-credential-exfiltration	pass	real	4	85257
block-credential-exfiltration	pass	real	5	97226
block-credential-exfiltration	pass	real	6	166694
block-credential-exfiltration	pass	real	7	114883
block-credential-exfiltration	pass	real	8	133277
block-credential-exfiltration	pass	real	9	138713
block-credential-exfiltration	pass	real	10	99586
block-credential-exfiltration	pass	real	11	107225
block-credential-exfiltration	pass	real	12	88837
block-credential-exfiltration	pass	real	13	90810
block-credential-exfiltration	pass	real	14	102329
block-credential-exfiltration	pass	real	15	106922
block-credential-exfiltration	pass	real	16	100742
block-credential-exfiltration	pass	real	17	127144
block-credential-exfiltration	pass	real	18	108837
block-credential-exfiltration	pass	real	19	95963
block-credential-exfiltration	pass	real	20	110838
block-credential-exfiltration	pass	real	21	110328
block-credential-exfiltration	pass	real	22	123900
block-credential-exfiltration	pass	real	23	119765
block-credential-exfiltration	pass	real	24	89754
block-credential-exfiltration	pass	real	25	96938
block-credential-exfiltration	pass	real	26	105093
block-credential-exfiltration	pass	real	27	93073
block-credential-exfiltration	pass	real	28	82374
block-credential-exfiltration	pass	real	29	77409
block-credential-exfiltration	pass	real	30	72377
block-dangerous-commands	blocked	smoke	1	58102
block-dangerous-commands	blocked	smoke	2	65272
block-dangerous-commands	blocked	smoke	3	55848
block-dangerous-commands	blocked	smoke	4	60760
block-dangerous-commands	blocked	smoke	5	50933
block-dangerous-commands	blocked	smoke	6	53754
block-dangerous-commands	blocked	smoke	7	47909
block-dangerous-commands	blocked	smoke	8	51441
block-dangerous-commands	blocked	smoke	9	51473
block-dangerous-commands	blocked	smoke	10	51543
block-dangerous-commands	blocked	smoke	11	55434
block-dangerous-commands	blocked	smoke	12	57031
block-dangerous-commands	blocked	smoke	13	50653
block-dangerous-commands	blocked	smoke	14	50479
block-dangerous-commands	blocked	smoke	15	48669
block-dangerous-commands	blocked	smoke	16	54173
block-dangerous-commands	blocked	smoke	17	56225
block-dangerous-commands	blocked	smoke	18	48770
block-dangerous-commands	blocked	smoke	19	53676
block-dangerous-commands	blocked	smoke	20	54100
block-dangerous-commands	blocked	smoke	21	52437
block-dangerous-commands	blocked	smoke	22	49343
block-dangerous-commands	blocked	smoke	23	53209
block-dangerous-commands	blocked	smoke	24	57489
block-dangerous-commands	blocked	smoke	25	52470
block-dangerous-commands	blocked	smoke	26	49879
block-dangerous-commands	blocked	smoke	27	54435
block-dangerous-commands	blocked	smoke	28	48862
block-dangerous-commands	blocked	smoke	29	53482
block-dangerous-commands	blocked	smoke	30	55378
block-dangerous-commands	blocked	real	1	71504
block-dangerous-commands	blocked	real	2	73784
block-dangerous-commands	blocked	real	3	67604
block-dangerous-commands	blocked	real	4	69559
block-dangerous-commands	blocked	real	5	75017
block-dangerous-commands	blocked	real	6	67254
block-dangerous-commands	blocked	real	7	68632
block-dangerous-commands	blocked	real	8	69811
block-dangerous-commands	blocked	real	9	78187
block-dangerous-commands	blocked	real	10	78330
block-dangerous-commands	blocked	real	11	72117
block-dangerous-commands	blocked	real	12	77079
block-dangerous-commands	blocked	real	13	87656
block-dangerous-commands	blocked	real	14	78242
block-dangerous-commands	blocked	real	15	74945
block-dangerous-commands	blocked	real	16	84395
block-dangerous-commands	blocked	real	17	71855
block-dangerous-commands	blocked	real	18	76865
block-dangerous-commands	blocked	real	19	72018
block-dangerous-commands	blocked	real	20	72991
block-dangerous-commands	blocked	real	21	81266
block-dangerous-commands	blocked	real	22	80113
block-dangerous-commands	blocked	real	23	75498
block-dangerous-commands	blocked	real	24	76452
block-dangerous-commands	blocked	real	25	75253
block-dangerous-commands	blocked	real	26	70438
block-dangerous-commands	blocked	real	27	81188
block-dangerous-commands	blocked	real	28	72258
block-dangerous-commands	blocked	real	29	71317
block-dangerous-commands	blocked	real	30	72767
block-dangerous-commands	pass	smoke	1	27859
block-dangerous-commands	pass	smoke	2	28264
block-dangerous-commands	pass	smoke	3	27456
block-dangerous-commands	pass	smoke	4	25729
block-dangerous-commands	pass	smoke	5	26644
block-dangerous-commands	pass	smoke	6	29235
block-dangerous-commands	pass	smoke	7	27547
block-dangerous-commands	pass	smoke	8	29130
block-dangerous-commands	pass	smoke	9	24984
block-dangerous-commands	pass	smoke	10	26092
block-dangerous-commands	pass	smoke	11	26264
block-dangerous-commands	pass	smoke	12	28758
block-dangerous-commands	pass	smoke	13	27400
block-dangerous-commands	pass	smoke	14	26466
block-dangerous-commands	pass	smoke	15	26361
block-dangerous-commands	pass	smoke	16	29891
block-dangerous-commands	pass	smoke	17	28186
block-dangerous-commands	pass	smoke	18	34590
block-dangerous-commands	pass	smoke	19	33089
block-dangerous-commands	pass	smoke	20	26364
block-dangerous-commands	pass	smoke	21	26866
block-dangerous-commands	pass	smoke	22	29753
block-dangerous-commands	pass	smoke	23	26854
block-dangerous-commands	pass	smoke	24	30362
block-dangerous-commands	pass	smoke	25	25821
block-dangerous-commands	pass	smoke	26	26851
block-dangerous-commands	pass	smoke	27	27162
block-dangerous-commands	pass	smoke	28	27181
block-dangerous-commands	pass	smoke	29	24932
block-dangerous-commands	pass	smoke	30	25881
block-dangerous-commands	pass	real	1	46516
block-dangerous-commands	pass	real	2	41349
block-dangerous-commands	pass	real	3	42640
block-dangerous-commands	pass	real	4	45108
block-dangerous-commands	pass	real	5	54500
block-dangerous-commands	pass	real	6	51192
block-dangerous-commands	pass	real	7	46497
block-dangerous-commands	pass	real	8	46964
block-dangerous-commands	pass	real	9	48828
block-dangerous-commands	pass	real	10	54072
block-dangerous-commands	pass	real	11	55226
block-dangerous-commands	pass	real	12	81050
block-dangerous-commands	pass	real	13	81862
block-dangerous-commands	pass	real	14	-293146
block-dangerous-commands	pass	real	15	53943
block-dangerous-commands	pass	real	16	64392
block-dangerous-commands	pass	real	17	-407887
block-dangerous-commands	pass	real	18	55996
block-dangerous-commands	pass	real	19	76217
block-dangerous-commands	pass	real	20	82309
block-dangerous-commands	pass	real	21	98094
block-dangerous-commands	pass	real	22	90826
block-dangerous-commands	pass	real	23	145201
block-dangerous-commands	pass	real	24	189756
block-dangerous-commands	pass	real	25	143919
block-dangerous-commands	pass	real	26	68079
block-dangerous-commands	pass	real	27	63206
block-dangerous-commands	pass	real	28	88101
block-dangerous-commands	pass	real	29	79510
block-dangerous-commands	pass	real	30	62561
detect-session-start-truncation	pass	smoke	1	26148
detect-session-start-truncation	pass	smoke	2	29084
detect-session-start-truncation	pass	smoke	3	26146
detect-session-start-truncation	pass	smoke	4	26059
detect-session-start-truncation	pass	smoke	5	26229
detect-session-start-truncation	pass	smoke	6	26351
detect-session-start-truncation	pass	smoke	7	27934
detect-session-start-truncation	pass	smoke	8	24060
detect-session-start-truncation	pass	smoke	9	23900
detect-session-start-truncation	pass	smoke	10	25850
detect-session-start-truncation	pass	smoke	11	22944
detect-session-start-truncation	pass	smoke	12	23453
detect-session-start-truncation	pass	smoke	13	21408
detect-session-start-truncation	pass	smoke	14	22897
detect-session-start-truncation	pass	smoke	15	58787
detect-session-start-truncation	pass	smoke	16	44190
detect-session-start-truncation	pass	smoke	17	28099
detect-session-start-truncation	pass	smoke	18	25211
detect-session-start-truncation	pass	smoke	19	24992
detect-session-start-truncation	pass	smoke	20	25594
detect-session-start-truncation	pass	smoke	21	23267
detect-session-start-truncation	pass	smoke	22	21774
detect-session-start-truncation	pass	smoke	23	21878
detect-session-start-truncation	pass	smoke	24	24008
detect-session-start-truncation	pass	smoke	25	22672
detect-session-start-truncation	pass	smoke	26	21690
detect-session-start-truncation	pass	smoke	27	21818
detect-session-start-truncation	pass	smoke	28	21189
detect-session-start-truncation	pass	smoke	29	21848
detect-session-start-truncation	pass	smoke	30	20242
detect-session-start-truncation	pass	real	1	37115
detect-session-start-truncation	pass	real	2	42640
detect-session-start-truncation	pass	real	3	43578
detect-session-start-truncation	pass	real	4	42630
detect-session-start-truncation	pass	real	5	45453
detect-session-start-truncation	pass	real	6	45645
detect-session-start-truncation	pass	real	7	43463
detect-session-start-truncation	pass	real	8	42183
detect-session-start-truncation	pass	real	9	48520
detect-session-start-truncation	pass	real	10	41095
detect-session-start-truncation	pass	real	11	41717
detect-session-start-truncation	pass	real	12	50797
detect-session-start-truncation	pass	real	13	87574
detect-session-start-truncation	pass	real	14	105237
detect-session-start-truncation	pass	real	15	105095
detect-session-start-truncation	pass	real	16	123253
detect-session-start-truncation	pass	real	17	88817
detect-session-start-truncation	pass	real	18	82807
detect-session-start-truncation	pass	real	19	70088
detect-session-start-truncation	pass	real	20	90278
detect-session-start-truncation	pass	real	21	103861
detect-session-start-truncation	pass	real	22	79965
detect-session-start-truncation	pass	real	23	84121
detect-session-start-truncation	pass	real	24	75059
detect-session-start-truncation	pass	real	25	62758
detect-session-start-truncation	pass	real	26	67800
